subject	activity.name	tBodyAcc.mean...X	tBodyAcc.mean...Y	tBodyAcc.mean...Z	tBodyAcc.std...X	tBodyAcc.std...Y	tBodyAcc.std...Z	tGravityAcc.mean...X	tGravityAcc.mean...Y	tGravityAcc.mean...Z	tGravityAcc.std...X	tGravityAcc.std...Y	tGravityAcc.std...Z	tBodyAccJerk.mean...X	tBodyAccJerk.mean...Y	tBodyAccJerk.mean...Z	tBodyAccJerk.std...X	tBodyAccJerk.std...Y	tBodyAccJerk.std...Z	tBodyGyro.mean...X	tBodyGyro.mean...Y	tBodyGyro.mean...Z	tBodyGyro.std...X	tBodyGyro.std...Y	tBodyGyro.std...Z	tBodyGyroJerk.mean...X	tBodyGyroJerk.mean...Y	tBodyGyroJerk.mean...Z	tBodyGyroJerk.std...X	tBodyGyroJerk.std...Y	tBodyGyroJerk.std...Z	tBodyAccMag.mean..	tBodyAccMag.std..	tGravityAccMag.mean..	tGravityAccMag.std..	tBodyAccJerkMag.mean..	tBodyAccJerkMag.std..	tBodyGyroMag.mean..	tBodyGyroMag.std..	tBodyGyroJerkMag.mean..	tBodyGyroJerkMag.std..	fBodyAcc.mean...X	fBodyAcc.mean...Y	fBodyAcc.mean...Z	fBodyAcc.std...X	fBodyAcc.std...Y	fBodyAcc.std...Z	fBodyAcc.meanFreq...X	fBodyAcc.meanFreq...Y	fBodyAcc.meanFreq...Z	fBodyAccJerk.mean...X	fBodyAccJerk.mean...Y	fBodyAccJerk.mean...Z	fBodyAccJerk.std...X	fBodyAccJerk.std...Y	fBodyAccJerk.std...Z	fBodyAccJerk.meanFreq...X	fBodyAccJerk.meanFreq...Y	fBodyAccJerk.meanFreq...Z	fBodyGyro.mean...X	fBodyGyro.mean...Y	fBodyGyro.mean...Z	fBodyGyro.std...X	fBodyGyro.std...Y	fBodyGyro.std...Z	fBodyGyro.meanFreq...X	fBodyGyro.meanFreq...Y	fBodyGyro.meanFreq...Z	fBodyAccMag.mean..	fBodyAccMag.std..	fBodyAccMag.meanFreq..	fBodyBodyAccJerkMag.mean..	fBodyBodyAccJerkMag.std..	fBodyBodyAccJerkMag.meanFreq..	fBodyBodyGyroMag.mean..	fBodyBodyGyroMag.std..	fBodyBodyGyroMag.meanFreq..	fBodyBodyGyroJerkMag.mean..	fBodyBodyGyroJerkMag.std..	fBodyBodyGyroJerkMag.meanFreq..	angle.tBodyAccMean.gravity.	angle.tBodyAccJerkMean..gravityMean.	angle.tBodyGyroMean.gravityMean.	angle.tBodyGyroJerkMean.gravityMean.	angle.X.gravityMean.	angle.Y.gravityMean.	angle.Z.gravityMean.
1	LAYING	1.98106483	-1.94925901	-1.348510122	-9.280564692	-8.188377666	-8.225334224	-3.6211781	6.609013806	4.458177198	-8.968300184	-8.95217246	-8.449564122	5.814996724	1.551783734	0.168125428	-9.58482112	-9.241492736	-9.548551108	-1.12207196	-5.250133842	4.805742306	-8.881768654	-9.510904402	-9.082846626	-5.219144142	-3.411398814	-4.917973782	-9.186085208	-9.679072436	-9.577901596	-8.582109184	-7.965845566	-8.582109184	-7.965845566	-9.543962646	-9.282456284	-8.74759548	-8.165685342	-9.6346103	-9.358409828	-9.390990524	-8.618400462	-8.826668762	-9.244374346	-8.560260764	-8.04905084	-0.778479268	0.723633666	0.501627858	-9.570738838	-9.224626098	-9.480609042	-9.641607086	-9.322178704	-9.605869872	0.840670908	0.416446124	0.997662292	-8.547608516	-9.521914948	-9.09302721	-8.822964508	-9.512320494	-9.165825082	0.293774378	-1.755811074	-0.118001086	-8.78295474	-7.823609324	1.102462054	-9.333003608	-9.218039756	2.723368544	-8.621901854	-8.303243502	-1.405991778	-9.423669466	-9.326606676	1.880447608	0.123747408	0.096236704	0.176648904	1.679750628	4.267062264	-5.264673494	-0.35241310896
1	SITTING	2.55914614042553	-1.46093349787234	-1.15408089148936	-9.77229008297872	-9.22618641914894	-9.3958629106383	8.31509933404255	2.62768587659574	3.32043702765957	-9.68457145744681	-9.35517055957447	-9.49040933191489	6.91633745531915	2.53623796808511	-0.599997123404255	-9.86430711276596	-9.81371965319149	-9.87910804468085	-3.29047948723404	-5.43753675319149	3.91630925744681	-9.58062347021277	-9.66473895319149	-9.41425920851064	-7.59659181276596	-4.02118124255319	-3.96657870425532	-9.91731592127659	-9.89518068510638	-9.87935806382979	-9.48536786170213	-9.27078418723404	-9.48536786170213	-9.27078418723404	-9.87364195531915	-9.84120024042553	-9.3089249	-9.34531840425532	-9.91976341276596	-9.88308728510638	-9.79641238723404	-9.44084550425532	-9.59184889148936	-9.76412313191489	-9.17275006382979	-9.34469558085106	0.564181559574468	0.993473774468085	2.9637626212766	-9.86597022553192	-9.81579467021277	-9.86053092340426	-9.87492994468085	-9.82513909574468	-9.88339184893617	2.70606644042553	0.710523444680851	1.6710005212766	-9.5701252787234	-9.75838585319149	-9.51315544468085	-9.58755290851064	-9.62345042553192	-9.4391784106383	1.92589986808511	0.733040578723404	-0.254630121276596	-9.47782922553191	-9.28444801702128	2.33314659574468	-9.85262126808511	-9.81606177446809	3.59752549787234	-9.58435589361702	-9.32198374893617	0.0530693234042554	-9.89797547234043	-9.87049617234043	2.57307006595745	0.935981646808511	0.614289814893617	0.550848544680851	-0.690116459574468	-5.91247480212766	-0.0674240425531915	-0.218017225106383
1	STANDING	2.78917629056604	-2.0046361	-1.62967680943396	-9.95759901509434	-9.73190056415094	-9.79775876981132	9.42952000377358	-2.72983832264151	0.431761269811321	-9.9376298509434	-9.81225957924528	-9.76324063584906	7.53766542264151	2.90978470943396	-1.2765823754717	-9.94604542264151	-9.8564873245283	-9.92251177358491	-2.48215812641509	-5.88214694150943	6.13540425471698	-9.87191946603774	-9.8773444	-9.80645626981132	-6.69268971698113	-4.40627877924528	-4.70062102075472	-9.92945106981132	-9.95137917358491	-9.92108467169811	-9.8427820735849	-9.81942928867925	-9.8427820735849	-9.81942928867925	-9.92367790566038	-9.93096209433962	-9.76493792830189	-9.78690028679245	-9.94966790566038	-9.94733238679245	-9.95249932641509	-9.77070847735849	-9.85297098679245	-9.9602834509434	-9.72293102075472	-9.6095612754717	1.91933642264151	2.1604788490566	2.68791298679245	-9.94630797358491	-9.85418704528302	-9.90752166037736	-9.95073759245283	-9.87018226792453	-9.92349818113208	3.27273168113208	1.05344345283019	2.25426099245283	-9.86386786037736	-9.88984455849057	-9.80773122830189	-9.87497128679245	-9.87107727735849	-9.8234533	-1.25194746981132	-0.891351669811321	1.4759656490566	-9.85356361132076	-9.82313804716981	2.89257809622642	-9.9254247754717	-9.92536003396226	4.22220102264151	-9.84617623396226	-9.78466072075472	-0.459431366037736	-9.94815376981132	-9.94671123207547	3.62321986037736	-0.206628835849057	0.382749969811321	-0.487273247169811	-0.52531681509434	-7.43407887924528	2.70175032830189	0.0122528503773585
1	WALKING	2.77330758736842	-1.77610914315789	-3.26482875368421	-2.83740258842105	2.46639913578947	-2.60027902210526	9.35223201473684	-2.82165021263158	-2.94566218526316	-9.76609642526316	-9.71305961473684	-9.47717226105263	0.439348565263158	0.619466261052632	-0.0651892821052631	-2.14210124421053	1.61527172421053	-5.02699788526316	-2.3482523	-1.06293194210526	3.41667633894737	-4.73535485894737	-1.99961817157895	-3.44266629473684	-1.27875085157895	-0.665812730526316	-0.581851429473684	-2.35009533157895	-3.11856350105263	-4.04255452631579	-3.44539091894737	-2.36381616842105	-3.44539091894737	-2.36381616842105	-2.79237875578947	-1.75967157263158	-2.63522067263158	-2.59345322947368	-3.06457901263158	-3.46965986631579	-2.49267423578947	1.36955244105263	-3.31560117789474	-3.19134719578947	1.76981458421053	-2.89007473789474	-2.39143848105263	1.57736564736842	0.663392637894737	-2.35034310736842	-0.832599521052632	-4.68999224631579	-2.01038251789474	2.48108923052632	-5.34713440421053	-2.48538261263158	-3.90202978526316	-2.20740626	-3.47811627578947	-2.23030072421053	-2.71552674736842	-5.16691938736842	-1.28931142842105	-4.36562227473684	0.355351517894737	-1.75527441578947	0.0526557736842105	-2.61001092	-3.98032586842105	2.70351904	-1.62633066842105	-2.33978195052632	0.894629416842105	-2.89286660105263	-3.21017953894737	2.77602083789474	-3.28744232526316	-3.81601911789474	3.00816655157895	0.120661235789474	-0.0240899747368421	0.272518131578947	0.256619617894737	-7.29247201052632	2.76953023473684	0.0688589119894737
1	WALKING_DOWNSTAIRS	2.89188320408163	-1.99415457959184	-3.27292284489796	0.907110824489796	0.145479363265306	-2.27582536938776	9.31874418979592	-2.66610338979592	-4.47126091632653	-9.50559811632653	-9.37018658979592	-8.95939695102041	0.977688495918367	-0.026843793877551	0.192373467346939	0.396232255102041	-1.92741743061224	-3.55369749795918	-0.762534210204082	-1.46783192857143	2.46189871020408	-4.86485652653061	-1.72696350204082	-3.60575136938776	-1.19350684897959	0.131464928571429	-0.0893206897959183	-4.87027342244898	-3.19410897142857	-2.86753391428571	0.895997414285714	-0.0305981632653062	0.895997414285714	-0.0305981632653062	-2.03411657755102	-1.2843905877551	-2.09923663877551	-2.56201133265306	-3.01608533469388	-3.04596994081633	0.973454330612245	-0.160791581632653	-2.51151513469388	1.3707250122449	-1.26797510408163	-2.97927894693878	-3.55605550612245	1.33928633673469	3.0604256122449	-1.34057199183673	-1.85118866530612	-2.87971545306122	-2.1912627	-2.54092692244898	-4.01721464285714	-2.58721075510204	-3.41351618571429	0.447082781632653	-3.22177535306122	-1.16690561632653	-1.09201041836735	-5.27880152040816	-2.91286531428571	-2.52076109591837	-1.27388981020408	0.617209387755102	-2.73487226938775	1.91782546734694	-2.2273182	2.63723749387755	-0.175502153061225	-2.34574303673469	1.72044860816327	-1.9162696122449	-4.06869616734694	3.66980383265306	-3.20687293061224	-4.22277042653061	2.94699567142857	0.217936946938775	0.802408118367347	0.718113167346939	-0.74756703877551	-7.44483753469388	2.67245784693878	0.0650047072244898
1	WALKING_UPSTAIRS	2.55461689622642	-2.32790603207547	-3.52094372830189	-3.5470802509434	-0.412479267924528	-0.773575354716981	8.9335109754717	-3.62153364339623	-5.75710071132075	-9.56367027924528	-9.52849233207547	-9.12379410377359	1.81303072264151	0.492112650943396	-0.221803909433962	-4.46843887735849	-3.78274426037736	-7.06593530943396	0.629953450943396	-1.44871441509434	1.21045341132075	-5.44871104528302	0.714587154716981	-5.0716867490566	-1.88107617735849	-2.20684167358491	-0.745696305660377	-6.14786508490566	-6.01696656226415	-6.06332002264151	-2.98324404339623	-3.24970929245283	-2.98324404339623	-3.24970929245283	-4.66503446226415	-4.78991622075472	-1.69405483584906	-1.40856370566038	-5.9488286509434	-6.48553044339623	-4.04321784150943	-2.65754435471698	-4.33349702075472	-3.37428188679245	0.845144375471698	3.47129394528302	-4.18620617169811	-2.23942786226415	-5.20114793584906	-4.79875245660377	-4.1344458754717	-6.85474353962264	-4.61907025849057	-3.81777065283019	-7.26040200754717	-3.77023128301887	-5.09495531698113	-5.51104284150943	-4.92611667924528	-3.19474609056604	-4.53597213018868	-5.65892490754717	1.99297810566038	-5.7170784	-1.88056138113208	-4.73574786603774	-2.45876012075472	-3.52395944716981	-4.16260101509434	-2.82716425471698	-4.4265216245283	-5.33059853773585	1.32813676037736	-3.4236664754717	-1.89903172641509	-2.30221016037736	-6.34665082075472	-6.93930521509434	2.05060779056604	0.837095873584906	-0.716703441509434	-1.7878819490566	0.461955773584906	-6.47195664339623	3.34763277358491	0.0741663682075472
2	LAYING	2.81373403958333	-1.87508203958333	-2.50491417916667	-9.74059464791667	-9.8027739875	-9.84233296875	-5.09754238125	7.52536639375	6.46834879583333	-9.59014441458333	-9.88211865208333	-9.84230418125	7.18871971666667	3.15626063125	-0.03612231875	-9.8587216875	-9.8317254125	-9.88442014375	-2.528261825	-5.66043694583333	6.72829461666667	-9.88275232916667	-9.82291608958333	-9.60306560416667	-6.84747427708333	-3.75219767083333	-5.38498538958333	-9.93235849166667	-9.89567537916667	-9.8803582125	-9.77435485208333	-9.72873912916667	-9.77435485208333	-9.72873912916667	-9.87741696041667	-9.8551807625	-9.50011569583333	-9.61164053958333	-9.91767074166667	-9.89718095208333	-9.76725059791667	-9.79800877916667	-9.84380981875	-9.73246482083333	-9.81025105625	-9.84792185	-1.30503907291667	2.802059975	4.60278518958333	-9.85813630833333	-9.82768250416667	-9.86197134583333	-9.87250255833333	-9.84987392916667	-9.89345368541667	1.81732468125	1.786523475	3.35292183333333	-9.864311425	-9.83321635416667	-9.626718875	-9.88860685833333	-9.81910616458333	-9.63174222291667	1.6541971375	0.36659131875	0.377235179166667	-9.75110196458333	-9.75121387916667	2.42530245625	-9.85374114791667	-9.84568489166667	3.44965309375	-9.72112972708333	-9.6109837875	-0.019714	-9.90248702291667	-9.89492660416667	3.00237563333333	-0.22808193125	0.05850258125	0.79052301875	-0.308629504166667	6.17423415625	-5.19732551458333	-0.478928233958333
2	SITTING	2.7708735173913	-1.9601394173913	-3.65057817826087	-9.86822279565217	-9.50704499130435	-9.5982817173913	9.40477273043478	-1.21512894782609	2.90577967608696	-9.79988760869565	-9.56750273043478	-9.54415873043478	7.22564387173913	2.78558943695652	-0.450096186956522	-9.88055854130435	-9.77983955434783	-9.8751821173913	-2.80246883478261	-5.5284396673913	4.39519135652174	-9.85742027826087	-9.78919526956522	-9.59803708695652	-6.96945665434783	-4.15602029130435	-3.90577065	-9.89709023043478	-9.90889614782609	-9.85542325652174	-9.67893623913043	-9.53081444130435	-9.67893623913043	-9.53081444130435	-9.86774713043478	-9.84475868043478	-9.46035087173913	-9.61313624130435	-9.91081493913043	-9.89594919565217	-9.85803840652174	-9.57343498478261	-9.70162172608696	-9.8736209	-9.50073754130435	-9.56862864130435	1.57444113478261	1.67511677608696	1.08148955434783	-9.87848793695652	-9.77139702826087	-9.85129050217391	-9.89459107391304	-9.80804228478261	-9.88570804130435	3.22307798043478	0.278996980434783	1.89363256521739	-9.82621389565217	-9.82100923695652	-9.59814822391304	-9.86808501521739	-9.77356188695652	-9.63522659782609	1.89434378043478	-2.37832817608696	-0.0544917891304348	-9.6127374826087	-9.55575602173913	1.55597572826087	-9.83874698913043	-9.84124185869565	3.42698186521739	-9.71840596086957	-9.61385745217391	-1.94672100217391	-9.89861950869565	-9.89632908913043	1.80271149782609	2.16294819565217	0.0112936326086956	0.240845984782609	-0.696451143478261	-7.74436094565217	3.07045437826087	-0.118224398621739
2	STANDING	2.77911472222222	-2.37470866666667	-2.73128780555556	-9.87271889259259	-9.57304989259259	-9.49741851296296	8.96928566851852	-3.70062696851852	2.68085560555556	-9.86685818703704	-9.7419442037037	-9.45927078703704	7.12644999259259	1.60294849444444	0.0400741111111111	-9.81085715555555	-9.7105943962963	-9.82841446481481	-2.4156937962963	-6.20667154259259	5.98094648148148	-9.72998629814815	-9.71441996481481	-9.64856701851852	-5.64832083888889	-3.9333825037037	-5.37823272592593	-9.79324000740741	-9.83447258518519	-9.73610118333333	-9.65875181296296	-9.57874965	-9.65875181296296	-9.57874965	-9.80489077407407	-9.76675280185185	-9.63466341851852	-9.5394338037037	-9.83951904259259	-9.77204427777778	-9.83946739814815	-9.59871697407407	-9.62471195740741	-9.89056469814815	-9.57908842222222	-9.46433583518519	2.00855322407407	0.419732383333333	1.52777223518519	-9.80973241666667	-9.70851337962963	-9.79775152037037	-9.83007923703704	-9.73520241111111	-9.84599905185185	3.41624843148148	-0.471540114814815	0.535475662962963	-9.67037112037037	-9.72576152962963	-9.60627696111111	-9.7498812462963	-9.7103605037037	-9.69754295740741	-1.44791479074074	-2.29980662962963	-0.201684742592593	-9.64052166481481	-9.60519381481481	1.43878332037037	-9.77065295555555	-9.7516046	3.36362636851852	-9.61775904814815	-9.56788725740741	-0.710875212962963	-9.77849827407407	-9.77754298148148	2.23085197592593	-0.667087446296296	0.407874577777778	0.0756481944444444	1.22067096296296	-6.27180076111111	3.37937911666667	-0.0678959805833333
2	WALKING	2.76426586440678	-2.25158471864407	-3.48720708474576	-4.23642838474576	-2.68136366779661	-4.25257524915254	9.13017333389831	-3.4660709	1.95704247457627	-9.72693201355932	-9.72116879661017	-9.72072847627119	0.547168069491525	0.279497723728814	0.111464369491525	-2.78116722711864	-0.782091123728814	-5.86090418983051	-1.744295	-3.5496347	4.81866191355932	-5.61550255762712	-5.3845366779661	-4.81085535084746	-1.34849534576271	-1.05267997966102	-0.938604574576271	-3.89549831525424	-6.34140436101695	-4.35492677288136	-2.90407593728814	-4.22544169322034	-2.90407593728814	-4.22544169322034	-3.15294370847458	-2.44035588813559	-4.46549092881356	-5.53019916271186	-5.47911950338983	-5.57798151355932	-3.46048161016949	-1.47708441864407	-4.53806369830509	-4.57651383728814	-2.54577034067797	-4.55222146440678	-2.12944364237288	2.87349372881356	0.935118179661017	-3.28505472033898	-0.650542427118644	-5.54956709661017	-3.30935343559322	-0.427239705084746	-6.15898188474576	-2.26855592372881	-3.35749555254237	-2.33476288474576	-4.29713536101695	-5.5477211220339	-3.96659907457627	-6.04053019152542	-5.33046952542373	-5.59856635084746	-0.649646128813559	-0.374687733898305	1.74635492881356	-3.36510344576271	-5.77105211694915	3.93206208305085	-2.26868014576271	-2.02462296779661	3.22181463559322	-5.30704814745763	-6.51792839661017	3.62531356271186	-5.8324929338983	-5.58104554745763	2.3813545779661	-0.0636310525423729	0.282059381355932	0.205368410169492	-0.425466293220339	-6.6195998	3.21443011864407	-0.0368892833067797
